Author Gender,Author Born On,Title,Good Reads Id,Year of Publication,Author Country,Pages,Author GR Id,Author Birth Year,Author Hometown,Author,Author Birthday,Attempted
,,Normal People,37539457,2018,County Mayo,266,15860970,,County Mayo,Sally Rooney,,1
male,1960/03/08,The Virgin Suicides,10956,1993,"Detroit, Michigan",250,1467,1960,"Detroit, Michigan",Jeffrey Eugenides,03/08,1
male,1927/03/06,One Hundred Years of Solitude,320,1967,"Aracataca, Magdalena",417,13450,1927,"Aracataca, Magdalena",Gabriel García Márquez,03/06,1
female,,"From Twinkle, with Love",36373464,2018,,330,14834224,,,Sandhya Menon,,1
female,1967/07/11,Interpreter of Maladies,5439,1999,London (England),198,3670,1967,London (England),Jhumpa Lahiri,07/11,1
female,,When Dimple Met Rishi,28458598,2017,,380,14834224,,,Sandhya Menon,,1
male,1958/12/02,Lincoln in the Bardo,29906980,2017,"Amarillo, Texas",343,8885,1958,"Amarillo, Texas",George Saunders,12/02,1
male,,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,28257707,2016,Austin,224,8529755,,Austin,Mark Manson,,1
female,1975/10/27,Swing Time,28390369,2016,London Borough of Brent,453,2522,1975,London Borough of Brent,Zadie Smith,10/27,1
male,,Crazy Rich Asians,16085481,2013,Singapore,403,634694,,Singapore,Kevin Kwan,,1
female,,To all the boys I've Loved before,15749186,2014,,355,151371,,,Jenny Han,,1
male,1927/03/06,Love in the Time of Cholera,9712,1985,"Aracataca, Magdalena",348,13450,1927,"Aracataca, Magdalena",Gabriel García Márquez,03/06,1
,,Is Everyone Hanging Out Without Me? (And Other Concerns),10335308,2011,"Cambridge, MA",222,194416,,"Cambridge, MA",Mindy Kaling,,1
male,1899/04/22,Lolita,7604,1955,Saint Petersburg,417,5152,1899,Saint Petersburg,Vladimir Nabokov,04/22,1
male,1821/11/11,The Eternal Husband,139421,1870,Moscow,137,3137322,1821,Moscow,Fyodor Dostoyevsky,11/11,1
male,1902/02/27,Grapes of Wrath ,18114322,1939,"Salinas Valley, California",479,585,1902,"Salinas Valley, California",John Steinbeck,02/27,1
male,,An Association of Small Bombs,25810398,2016,,288,1856113,,,Karan Mahajan,,1
,,Performative Revolution in Egypt: An Essay in Cultural Power,12582353,2011,,144,154443,,,Jeffrey C. Alexander,,1
female,,A Visit from the Goon Squad,7331435,2010,"Chicago, IL",288,49625,,"Chicago, IL",Jennifer Egan,,1
female,1967/07/11,The Lowland,17262100,2013,London (England),340,3670,1967,London (England),Jhumpa Lahiri,07/11,1
male,1919/01/01,The Catcher in the Rye,5107,1951,"Manhattan, New York",277,819789,1919,"Manhattan, New York",J.D. Salinger,01/01,1
male,1875/12/04,Auguste Rodin,1052998,1903,Prague,88,7906,1875,Prague,Rainer Maria Rilke,12/04,1
female,1926/04/28,To Kill a Mockingbird,2657,1960,"Monroeville, Alabama",324,1825,1926,"Monroeville, Alabama",Harper Lee,04/28,1
male,1971/01/01,Monster of Men,20758105,2010,"Fort Belvoir, Virginia",643,370361,1971,"Fort Belvoir, Virginia",Patrick Ness,01/01,1
male,1947/06/19,Midnight's Children,14836,1981,Bombay,647,3299,1947,Bombay,Salman Rushdie,06/19,1
male,1903/06/25,1984,40961427,1949,"Motihari, Bihar",237,3706,1903,"Motihari, Bihar",George Orwell,06/25,1
male,1974/04/22,2 States,6969361,2009,New Delhi,269,61124,1974,New Delhi,Chetan Bhagat,04/22,1
male,,A Bend in the Road,3463,2001,"Omaha, Nebraska",341,2345,,"Omaha, Nebraska",Nicholas Sparks,,1
,,A Fistful of Rice,10375910,2010,,208,4071634,,,Vikram Akula,,1
male,1940/04/15,A Matter of Honor,78970,1986,London,368,4820,1940,London,Jeffrey Archer,04/15,1
male,1879/01/01,A Passage to India,45195,1924,"Marylebone, London, England",376,86404,1879,"Marylebone, London, England",E.M. Forster,01/01,1
male,1940/04/15,A Prisoner of Birth,1611988,2008,London,501,4820,1940,London,Jeffrey Archer,04/15,1
,,The Austere Academy,131123,2000,San Francisco,221,36746,,San Francisco,Lemony Snicket,,1
,,The Bad Beginning,78411,1999,San Francisco,176,36746,,San Francisco,Lemony Snicket,,1
,,The Carnivorous Carnival,324277,2002,San Francisco,286,36746,,San Francisco,Lemony Snicket,,1
male,1951/08/24,The End,375802,1985,"Richland, Washington",324,589,1951,"Richland, Washington",Orson Scott Card,08/24,1
,,The Ersatz Elevator,172327,2001,San Francisco,259,36746,,San Francisco,Lemony Snicket,,1
,,The Grim Grotto,65111,2004,San Francisco,323,36746,,San Francisco,Lemony Snicket,,1
,,The Hostile Hospital,65118,2001,San Francisco,272,36746,,San Francisco,Lemony Snicket,,1
,,The Miserable Mill,65119,2000,San Francisco,194,36746,,San Francisco,Lemony Snicket,,1
,,The Penultimate Peril,65110,2005,San Francisco,353,36746,,San Francisco,Lemony Snicket,,1
,,The Reptile Room,78418,1999,San Francisco,192,36746,,San Francisco,Lemony Snicket,,1
,,The Slippery Slope,297792,2003,San Francisco,337,36746,,San Francisco,Lemony Snicket,,1
,,The Vile Village,150037,2001,San Francisco,272,36746,,San Francisco,Lemony Snicket,,1
,,The Wide Window,438492,2000,San Francisco,214,36746,,San Francisco,Lemony Snicket,,1
male,1952/06/20,A Suitable Boy,50365,1993,"Calcutta (now Kolkata), West Bengal",1474,28345,1952,"Calcutta (now Kolkata), West Bengal",Vikram Seth,06/20,1
male,1965/03/04,A Thousand Splendid Suns,128029,2007,Kabul,372,569,1965,Kabul,Khaled Hosseini,03/04,1
male,,A Walk to Remember,35545737,1999,"Omaha, Nebraska",215,2345,,"Omaha, Nebraska",Nicholas Sparks,,1
male,1854/10/16,An Ideal Husband,5296,1893,Dublin,78,3565,1854,Dublin,Oscar Wilde,10/16,1
male,1965/05/14,And Another Thing,6359434,2009,Wexford,275,10896,1965,Wexford,Eoin Colfer,05/14,1
male,1965/03/04,And the Mountains Echoed,16115612,2012,Kabul,404,569,1965,Kabul,Khaled Hosseini,03/04,1
male,,Angels and Demons,960,2000,"Exeter, New Hampshire",736,630,,"Exeter, New Hampshire",Dan Brown,,1
male,1903/06/25,Animal Farm,170448,1945,"Motihari, Bihar",144,3706,1903,"Motihari, Bihar",George Orwell,06/25,1
